epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.215,1.34328,3.44643,1.25189,0.17721,0.1359,0.06173,0.04402,1.31172,2.96877,1.233,0.0669523,3.30808e-05,3.30808e-05
2,198.645,1.24993,2.52419,1.18476,0.27461,0.18986,0.12662,0.09261,1.14599,2.47149,1.13172,0.033651,6.50991e-05,6.50991e-05
3,293.816,1.2072,2.22256,1.15244,0.2512,0.24304,0.17944,0.13118,1.16445,2.29479,1.11987,0.000348323,9.57975e-05,9.57975e-05
4,389.346,1.168,2.00112,1.12719,0.26108,0.25058,0.19039,0.13825,1.11888,2.41723,1.09443,9.406e-05,9.406e-05,9.406e-05
5,484.525,1.1346,1.85309,1.10775,0.3892,0.25576,0.22034,0.16416,1.10171,2.23827,1.10979,9.208e-05,9.208e-05,9.208e-05
6,579.107,1.10415,1.69779,1.09949,0.39186,0.28555,0.2345,0.17252,1.08293,2.11196,1.07937,9.01e-05,9.01e-05,9.01e-05
7,673.707,1.10511,1.60198,1.08813,0.37488,0.27904,0.23422,0.17392,1.10838,2.18422,1.09208,8.812e-05,8.812e-05,8.812e-05
8,768.299,1.09524,1.50151,1.08084,0.43136,0.28397,0.26382,0.20163,1.06012,2.08788,1.07564,8.614e-05,8.614e-05,8.614e-05
9,862.965,1.06448,1.38477,1.06713,0.43922,0.3043,0.26891,0.19985,1.098,2.19645,1.09768,8.416e-05,8.416e-05,8.416e-05
10,957.539,1.04142,1.28979,1.05553,0.46065,0.30509,0.28886,0.21544,1.09195,2.01281,1.08778,8.218e-05,8.218e-05,8.218e-05
11,1052.24,1.01803,1.21588,1.04602,0.43084,0.29831,0.30009,0.22738,1.07368,2.00258,1.07264,8.02e-05,8.02e-05,8.02e-05
12,1146.99,1.02456,1.17494,1.0386,0.45095,0.31321,0.3129,0.23499,1.0681,1.95802,1.07047,7.822e-05,7.822e-05,7.822e-05
13,1241.45,1.00114,1.11947,1.03507,0.53149,0.32837,0.33136,0.24958,1.07022,1.96053,1.07004,7.624e-05,7.624e-05,7.624e-05
14,1335.94,0.99055,1.05606,1.02281,0.50502,0.32936,0.33257,0.24966,1.07833,1.96879,1.07406,7.426e-05,7.426e-05,7.426e-05
15,1430.23,0.9784,1.02818,1.02155,0.53112,0.33301,0.33891,0.25518,1.05371,1.954,1.06692,7.228e-05,7.228e-05,7.228e-05
16,1524.92,0.97463,0.98676,1.01994,0.52778,0.32812,0.33677,0.25219,1.06849,1.96275,1.06321,7.03e-05,7.03e-05,7.03e-05
17,1619.53,0.94758,0.94016,1.01073,0.5791,0.34119,0.35232,0.26539,1.06569,1.93573,1.0706,6.832e-05,6.832e-05,6.832e-05
18,1714.19,0.95165,0.9247,1.00947,0.55302,0.34753,0.3581,0.26938,1.05496,1.91975,1.06064,6.634e-05,6.634e-05,6.634e-05
19,1808.85,0.94369,0.89636,1.00491,0.55946,0.34578,0.35529,0.26913,1.04864,1.95665,1.0561,6.436e-05,6.436e-05,6.436e-05
20,1902.96,0.92485,0.85456,0.9964,0.56644,0.34191,0.35623,0.26889,1.05852,1.98488,1.0758,6.238e-05,6.238e-05,6.238e-05
21,1996.95,0.93396,0.85334,1.00322,0.58473,0.35668,0.37091,0.28246,1.03054,1.97132,1.05915,6.04e-05,6.04e-05,6.04e-05
22,2090.92,0.91049,0.82243,0.98903,0.56474,0.35769,0.37058,0.28049,1.03901,1.95395,1.05519,5.842e-05,5.842e-05,5.842e-05
23,2184.99,0.91311,0.82299,0.99248,0.57723,0.36076,0.37756,0.28698,1.03005,1.92416,1.0474,5.644e-05,5.644e-05,5.644e-05
24,2278.97,0.90668,0.79418,0.98956,0.59418,0.35583,0.38967,0.2919,1.04964,1.9061,1.05738,5.446e-05,5.446e-05,5.446e-05
25,2372.9,0.89346,0.7678,0.98147,0.59182,0.3654,0.38509,0.29246,1.02445,1.94137,1.04608,5.248e-05,5.248e-05,5.248e-05
26,2466.79,0.89338,0.75351,0.98299,0.57964,0.36729,0.38838,0.29517,1.04246,1.9026,1.05238,5.05e-05,5.05e-05,5.05e-05
